제목,작성 날짜,주최사,활동내용,모집 기간,모집 인원,모집 대상,참가 비용 유/무,우대 사항,활동 지역,활동 기간
 제10회 DMZ국제다큐영화제 자원활동가 大모집!!(8월14일까지),20180729,DMZ국제다큐영화제,영화제 현장 및 사무국에서 영화제 기간 동안 영화제의 운영과 기획을 지원할 자원활동가 여러분들을 모집합니다 :),8월 14일 까지!,70명 내외,만 18세 이상 누구나 가능!,무,포스터 내용 참고해주세요,"메가박스 백석, 롯데시네마 파주 롯데 아울렛, 영화제 사무국(고양터미널 4층) 등 영화제 행사장 일대",9월 13일부터 9월 20일까지
 [빛길봉사단] 빛길봉사단 8월 신입회원 모집(~8.31),20180729,빛길봉사단,독거노인 지원 및 기타 봉사활동,~2018.8.31,15명,"서울/경기지역 봉사활동 가능 대학생+직장인졸업생 가능 여부 (O,X)O","봉사활동 참여 시 참여비 5,000원한 달에 2회 이상 참여 시 2회 참여할 때부터 참여비 면제",따뜻한 마음을 가지고 오랫동안 봉사단과 함께할 수 있으신 분,"정기 봉사처 : 종로구 창신동, 강동구 암사동, 은평구 불광동기타 모임장소 : 서울/경기지역 어디나",참여 가능한 시간 언제나
 [아대만]아름다운 대한민국 만들기 '아대만'에서 4-2기 신입회원을 모집합니다. (~7/31),20180728,'아대만' 아름다운 대한민국 만들기,"저희 아대만은 매월 1회 기획활동, 1회 정기 봉사활동을 진행합니다. 기획활동으로올해는 태극기알리기, 부산종주  Walking for love, 느린편지 받기, 수녀원아이들 교육, 체육 봉사등 다양한 활동을 했습니다. 올해부터는 부산 용호종합사회복지단에서 월 1회 무료급식 봉사를 진행하고 있으며, 기획활동도 행복상점(팝업스토어 개장 및 판매), 플리마켓 바자회, 유니브엑스포 참여 등 다양한 활동은 물론이고 활동을 직접 기획할 수 있는 기회도 주어집니다. 자세한 내용은 포스터를 참고해주세요!",2018년 7월 31일 까지,10명,"아름다운 대한민국 만들기에 동참하고픈 열정 가득한, 부산의 대학생이면 누구나 가능합니다!졸업생 가능 여부 (O,X)O 가능",무,,부산,아대만과 함께할 의지만 있다면 기간의 끝은 없습니다.
" [우리봉사단] 18.8.5(일) 대구 ""한여름 어울림 봉사"" 봉사자모집 (~07/31)",20180728,우리봉사단,다문화가정 아이들과 함께하는 즐거운 놀이 및 프로그램 활동^^,~7/31,70명,"제한없음졸업생 가능 여부 (O,X)제한없음",유(만원=식사비 간식비 물품비),,대구광역시,>18.8.5(일요일)
 [부산봉사] SCI 국제시민봉사회 부산경남지부에서 대학생 자원봉사자를 모집합니다,20180728,sci 국제시민봉사회 부산경남지부,"일일 봉사, 주말 봉사, 정기적 모임",수시모집,제한없음,부산경남소재 대학생,"무활동 지역부산활동 기간모든 활동에는 강제성이 없이 자신이 원하는 날짜에 원하는 활동을 할 수 있습니다.활동 혜택 외교통상부에서 인정한 비영리민간단체 등록 제53호로써, 행안부에서 인정받은 봉사활동 확인서 발급이 가능합니다. 봉사시간 및 다양한 인맥오프라인 모임 횟 수 (월 x회)월1 회 (RM)지원하는 방법 홈페이지 가입 후 가입신청서 작성 홈페이지 : http://cafe.naver.com/scibusan공식 카페/블로그 및 SNS기타▼<담당자의 Q&A> 채워주시면  '스펙업 페이스북' 홍보 우선 대상자가 됩니다! <이 부분을 포함한 위의 두 줄은 삭제하고 글을 작성해주세요.>< 대외활동 담당자의 Q&A >Q. 지난번 경쟁률은 어땠나요?A.Q. 필요 역량 및",,부산,모든 활동에는 강제성이 없이 자신이 원하는 날짜에 원하는 활동을 할 수 있습니다.
 [아띠펜도]일요일에 시간 어때요? 봉사팀 아띠펜도 11기 회원 모집(~8/8),20180727,아띠펜도 봉사팀,승가원에서 장애아동친구들과 함께하는 정기봉사와정기 봉사시간 내에 아띠펜도에서 직접 기획하고 준비하여 진행하는 기획봉사로 활동하고 있습니다!!봉사 후에는 아띠펜도의 친목을 다질 수 있는 꿀맛 저녁식사까지 최고최고시험기간에는 잠시 활동을 중지하니 부담 갖지 말고 지원해주세요!8월 18일 토요일 아띠펜도 OT가 예정되어 있습니다. 필참이니 참고해주세요.,8월 8일 수요일 오후 8시까지,10명,20대 봉사에 관심과 열정이 있으신 누구나 지원 가능합니다! 재학생 휴학생 졸업생 상관 없습니다,연 회비 2만원으로 봉사기획 지원비로 사용됩니다.,봉사에 관심 있는 활동적이고 긍정적인 마인드를 가진 모든 분!!일요일에 시간 여유가 있으신 분성실하게 봉사에 참여해주실 모든 분 환영합니다 :),서울 성북구 안암역 10분거리 승가원 장애아동시설,2018년 12월까지(연장 가능)
" [드림메이커]엔젤튜터(교육봉사) 모집, VMS봉사시간+꿈여행 비행기표 (~7/29)",20180727,드림메이커 인터내셔널,교육자원봉사,~7/29(일),00명,서울/경기 지역에서 활동 가능한 4년제 재학/휴학/졸업생,무,,"서울, 경기","4, 5, 6개월 중 선택"
 뚝섬 아름다운나눔장터 정기자원활동가 모집(~8/8),20180727,아름다운가게,"나눔캠페인:어린이,환경,나눔등다양한캠페인진행인터넷예약확인처:참가자접수확인및안내등운영사무소:방송,운영지원및안내등행사장관리:행사장내질서유지및안내등출입구관리:출입구안전관리및안내등기증처:기증물품수령및안내등", ~8월 8일 (수) 13:00 선착순 모집,선착순모집,만19세이상성인(외국인의경우메일문의)나눔과재사용운동에동참하고자하는자 졸업생 가능,없음,선착순모집,"뚝섬유원지역2, 3번출구앞광장"," 활동가 OT : 2018년 8월 11일(토) 13:00 ~ 16:30* 활동 후 봉사시간 인정* 아름다운가게 서울사무실 1층 대회의실 (서울특별시 회현2가 34)* 4호선 명동역 4번출구 5~10분거리현장활동 : 2018년 8월 25일(토) ~ 10월 28일(일) 09:00 ~ 17:00 (점심/간식 제공)* 가능한 일자에 활동(3회 이상 활동)* 뚝섬유원지역 2, 3번 출구 앞 광장* 야외행사로 진행되어 기상상황에 따라 변경 및 취소될 수도 있습니다. 문화실행위 : 8월 29일(수) 19시~21시 / 영화관 예정 (무료) 수료식 : 11월 10일(토) 11시 ~ 16시"
 [모집] 어서와~한국장기봉사는 처음이지?(~8.24),20180727,사단법인 더나은세상, 봉사메이트! 아주 특별한 호스트와 아주 특별한 외국인봉사자들과 함께하는 아주 특별한 한국봉사여행!,," 총 5명 (각 프로젝트 당 1명, 2개의 프로그램 제외)", 만 19세 이상 누구나!," 참가비 : 30만원→ 3회간의 교육(오리엔테이션, 중간평가, 최종평가)에 대한 숙식비, 교육비, 중간평가회 왕복교통비, 상해보험료, 국제행정비 등"," 3개월 간 쉬면서 외국인들과 여유롭게 활동하고 싶다!는 사람, 길게 국내 봉사하고싶은 사람!외국친구를 사귀면서 영어를 익히고 싶은 사람!"," 경기 화성, 강원 영월, 부산 금정, 경남 의령, 경북 영천", 9월 12일(수) ~ 12월 7일(금)
 [국제무용협회 한국본부]제 21회 서울세계무용축제 자원활동가 모집(~8/5),20180727,국제무용협회 한국본부,"[의전통역팀] 공식 초청작 아티스트 팀 의전 및 통역. 영어 가능자 해외무용단 입/출국 및 시댄스 공식 일정(공연장/숙소 이동 등) 의전통역 문화동반자 연습 및 공연진행 통역 공연 셋업/철수 및 리허설, 부대행사(워크샵 등) 진행 통역*우대사항: 일본어/중국어/프랑스어 가능자  [기획홍보팀]:온/오프라인 홍보, 공연장 디스플레이 및 공연 관리, 기자간담회 등  기자간담회/ 현장 이벤트 / 부대행사 / 워크숍 진행 SNS 홍보, 현장취재, 공연팀 인터뷰, 사진 및 영상 촬영 MD판매, 공간 관리, 관객안내 등*우대사항: 다양한 아이디어를 가진 사람/밝고 에너지 넘치는 사람/하우스 어셔 및 축제 운영 경험자", 서류 접수 기간: 2018. 07. 11  08. 05 서류합격자 발표 : 2018. 08. 06.(월) [개별연락] 면접전형 : 2018. 08. 07.(화) 08. 09(목) 최종합격자 발표 : 2018. 8. 10.(금) [공식 홈페이지 공지 및 개별 연락],제한없음,"성인이라면 누구나 지원 가능 (졸업생도 가능),    단, 축제 시작 전 사전활동과 축제 기간 중 활동이 가능하여야 합니다.",없습니다.,위 활동내용에 명시하였습니다.,서울, 발대식: 2018. 08. 17.(금)  사전 활동기간: 2018. 08. 17(금)  09.24(월) 축제 활동기간 : 2018. 10. 01.(월)  10. 19.(금)
" 대학생 연합 토론교육봉사단체 ""대풍단"" 7기 모집(~8/10)",20180727,한국 청소년 문화진흥협회,"서울지역 3개 지부(수유, 홍대, 건대) 지역아동센터에서 토론교육 봉사를 실시(주 1회)전국토론대회에서 심사위원이나 토론 진행을 맡는 퍼실리테이터로 위촉되어 활동(매 학기 1회)프로그램 제작팀, 기획팀, 인프라 구축팀에 소속되어 팀 활동 진행매월 마지막 주 토요일 총회 진행토론활동지도사 3급 자격증 취득을 위한 자격증 교육 이수",7월 16일~8월 10일,00명,"토론을 좋아하고 교육을 사랑하는 휴학생, 재학생","한 학기 활동비 2만원 (MT 비용은 별도입니다)활동 지역수유 지부, 홍대(망원) 지부, 건대 지부활동 기간1년활동 혜택토론활동지도사 3급 자격증봉사시간오프라인 모임 횟 수 (월 x회)월 1회 이상매월 마지막 주 토요일 정기 총회팀 활동지원하는 방법(1) https://cafe.naver.com/daepoogdan/308 에서 지원서를 다운 받아주세요게시글 상단에 첨부파일 있습니다(2) 지원서 작성 후 dmstjs2009@gmail.com 으로 제출해 주세요공식 카페/블로그 및 SNS네이버 카페https://m.cafe.naver.com/daepoogdan페이스북https://www.facebook.com/%EB%8C%80%ED%95%99%EC%83%9D%ED%92%8D%EB%8E%85%EC%9D%B4%EB%B4%89%EC%82%AC%EB%8B%A8%EB%8C%80%ED%92%8D%EB%8B%A81414691041889091/모집일정1. 모집기간  7월 16일~8월 10일 2. 서류발표  8월 13일2. 면접일시  8월 16일~17일3. 합격자 발표  8월 18일 토요일< 대외활동 담당자의 Q&A >Q. 지난번 경쟁률은 어땠나요?A. 3대 1이었습니다Q. 필요 역량 및",,"수유 지부, 홍대(망원) 지부, 건대 지부",1년
 [부산봉사] SCI 국제시민봉사회 부산경남지부에서 대학생 자원봉사자를 모집합니다,20180726,sci 국제시민봉사회 부산경남지부,"일일 봉사, 주말 봉사, 정기적 모임",수시모집,제한없음,부산경남소재 대학생,"무활동 지역부산활동 기간모든 활동에는 강제성이 없이 자신이 원하는 날짜에 원하는 활동을 할 수 있습니다.활동 혜택 외교통상부에서 인정한 비영리민간단체 등록 제53호로써, 행안부에서 인정받은 봉사활동 확인서 발급이 가능합니다. 봉사시간 및 다양한 인맥오프라인 모임 횟 수 (월 x회)월1 회 (RM)지원하는 방법 홈페이지 가입 후 가입신청서 작성 홈페이지 : http://cafe.naver.com/scibusan공식 카페/블로그 및 SNS기타▼<담당자의 Q&A> 채워주시면  '스펙업 페이스북' 홍보 우선 대상자가 됩니다! <이 부분을 포함한 위의 두 줄은 삭제하고 글을 작성해주세요.>< 대외활동 담당자의 Q&A >Q. 지난번 경쟁률은 어땠나요?A.Q. 필요 역량 및",,부산,모든 활동에는 강제성이 없이 자신이 원하는 날짜에 원하는 활동을 할 수 있습니다.
 2018 서울 북 페스티벌 자원활동가(도돌이2기) 모집(~7/27),20180726,서울도서관,2018 서울 북 페스티벌 운영 지원 독서 프로그램 운영 지원 축제 평가 설문조사 지원 전반적인 북 페스티벌 운영지원,2018. 7. 2.(월) ~ 2018. 7. 27.(금) 18시까지,60명 내외,"서울시민, 서울소재 직장인 및 전국 대학생",무,서울 북 페스티벌을 함께 만들 사람축제 자원활동에 유경험자나 관심이 많은 자문헌정보과 관련 학과 학생,서울시,"2018년9월8일(토)~9월9일(일) 북 페스티벌 이해도를 높이기 위한 사전교육 활동 예정 8월11일(토), 25일(토)사전교육 필참 ※일정변동가능"
 [아띠펜도]일요일에 시간 어때요? 봉사팀 아띠펜도 11기 회원 모집(~8/8),20180725,아띠펜도 봉사팀,승가원에서 장애아동친구들과 함께하는 정기봉사와정기 봉사시간 내에 아띠펜도에서 직접 기획하고 준비하여 진행하는 기획봉사로 활동하고 있습니다!!봉사 후에는 아띠펜도의 친목을 다질 수 있는 꿀맛 저녁식사까지 최고최고시험기간에는 잠시 활동을 중지하니 부담 갖지 말고 지원해주세요!8월 18일 토요일 아띠펜도 OT가 예정되어 있습니다. 필참이니 참고해주세요.,8월 8일 수요일 오후 8시까지,10명,20대 봉사에 관심과 열정이 있으신 누구나 지원 가능합니다! 재학생 휴학생 졸업생 상관 없습니다,연 회비 2만원으로 봉사기획 지원비로 사용됩니다.,봉사에 관심 있는 활동적이고 긍정적인 마인드를 가진 모든 분들!!일요일에 시간 여유가 있으신 분들성실하게 봉사에 참여해주실 모든 분들 환영합니다 :),서울 성북구 안암역 10분거리 승가원 장애아동시설,2018년 12월까지
 [컬발] 여러분이 하고 싶은 봉사는 무엇인가요? 청춘 기획봉사 컬러 발론티어 (~07/25) 오늘 마감!!,20180725,봉사단체 아띠,기획봉사,~07/25,10명,20~30대 초반 열정이 가득한 청춘,유 / 6개월에 2만원,기획 활동을 많이 해본 사람 / 봉사에 열정이 가득한 사람,서울/경기,2018.08.04~2019.08.04
 [광명사랑나눔]고등학생 친구들과 함께하는 청춘 기획봉사! 어서 지원해주세요!! (~07/25) 오늘 마감!!!,20180725,자원봉사단체 아띠,광명 사랑 나눔 봉사: 고등학생 멘토링 및 합동봉사,~07/25,8명,20대 성인 누구나!!! 30대 초반도 가능합니당,6개월에 2만원 / 봉사활동 및 운영 경비로 사용됩니다!,좋은 체력 이쁜 마음,경기도 광명시 / 서울 각 지역에서 비정기 봉사도 합니다,~12/31
 [우리봉사단] 한여름 어울림 봉사자를 모집합니다!,20180725,우리봉사단," PART1. 봉사자조 [다소니(사랑하다)조] 총 5조 (약 40~50명 예정)다문화 가정 아동들과 1:1로 짝을 지어 즐거운 활동을 하고, 따뜻한 마음을 나눕니다^^ PART2. 프로그램조 [다솜(사랑)조] 총 6조 (약 20명 예정)아이들을 위해 프로그램 활동을 준비하고 진행하는 역할을 합니다^^각 활동을 완료하면 각조에서는 아이들에게 스티커를 붙여주시면 되고6개의 활동을 모두 완료한 아이들은 상품을 받아갈 예정이에요ㅎ 속담 퀴즈 조  ex. 속담을 그림으로 표현한 것(프린트)을     스케치북을 넘겨가며 맞추도록하기^^ 초성 퀴즈 조  ex. 스케치북에 초성을 적고 한 초성 당 3개를     이야기하고 초성문제 총 5개를 맞추기 팔찌만들기 조  아이들이 직접 이쁜 팔찌 만들수 있도록 방법을  알려주고 도와주기 에코백 만들기 조  에코백에 아이들이 직접 페브릭마카로 이쁜 그림  그리거나 색칠하기 짝얼굴 그려주기 조  도화지 및 크레파스를 나눠주어 봉사자와 아이들  서로 얼굴 그려주기 부채만들기 조   도안을 미리 만들어 놓고 아무 무양 없는 부채를  나눠주어 아이들이 그릴 수 있도록 한다 PART3. 이벤트조아이들을 위해 이벤트 활동을 준비하고 진행하는 역할을 합니다^^이벤트에는 상품이 있습니다! 활 쏘기 & 투호 활동","한여름 어울림 봉사활동"" 봉사자 모집(~7/31)", 각 조에 인원에 따라 조기마감 될 수도 있습니다!, 봉사를 하고자 하는 누구나 가능합니다!,"참가비 : 만원 (식사비, 물품비) 신청인원을 바탕으로 미리 봉사준비를 하기에 봉사 일주일전부터의 봉사취소는 환불이 불가능하오니,  이 점 양해부탁드립니다.", 없습니다, 대구경북지역 (대구 동구 다문화가족지원센터 5층 504호 큰강의실/대구 반야월역 3번출구 도보5분거리), 2018년 8월 5일 일요일
[복권위원회] 홍진영과 함께하는 행복공감봉사단 모집 (~8/26),20180725,정부 복권위원회,,,,,,,,
 굿네이버스 좋은마음센터 서울동작 성폭력예방인형극 자원봉사자 모집,20180725,굿네이버스 좋은마음센터 서울동작," 동작구, 관악구에 있는 초등학교를 직접 방문하여 인형극 진행",~7/27(금요일), 00명," 대학생이면 누구나 가능(휴학생 포함, 졸업생 불가능)",,," 관악구, 동작구",
  세브란스/성모/고대구로병원 병원학교 아이들을 위한 교육봉사 연합동아리(~8/1),20180725,키즈유나이티드,"신촌 세브란스병원, 서울 성모병원, 고대구로병원, 서울대 병원 어린이 병원학교에서 소아암, 백혈병으로 인해 장기 입원치료 받는 아이들을 대상으로 미술/풍선아트/과학 수업을 진행합니다.",~8/1,10여명,"아이들을 사랑하는 대학생(졸업생 불가, 휴학생 가능)",유(지원서 안내사항 참고),"수업 과목 관련 전공자, 특기자","서울대병원, 세브란스병원, 서울성모병원",2018년 9월 ~ 2019년 2월 이상(6개월 이상)
" [Special Olympics Korea] 2018 스페셜 뮤직&아트 페스티벌 메이트, 통역자원봉사자 모집",20180725,(사)스페셜올림픽코리아,메이트: 발달장애 참가자(멘티)와 일정을 함께하며 페스티벌을 진행하는 활동통역: 해외발달장애 참가자(멘티)와 일정을 함께하며 페스티벌을 진행하는 활동,2018년 7월 25일(수) ~ 8월 1일(수),"국내 메이트(남자) 30명통역자원봉사자 2명(몽골, 러시아)",만 18세 이상(2000.8.7. 이전 출생자)  내·외국인으로서 행사기간 내 활동 가능한 자,無,,평창 알펜시아 리조트,2018년 8월 7일 ~ 8월 11일 (4박 5일)
 [우리봉사단]-한여름 어울림 봉사자를 모집합니다!,20180724, 우리봉사단  한여름 어울림 봉사," 초성퀴즈, 에코백만들기, 팔찌만들기, 부채만들기 등", 마감하기전까지 받습니다!, 마감하기전까지 받습니다!, 봉사하고자하는 누구나 가능합니다!!, 유 : 정확한 비용은 포스터에 쓰여진 카페에서 확인해주세요!, 없습니다!, 대구경북지역, 2018.08.05
 [부산봉사] SCI 국제시민봉사회 부산경남지부에서 대학생 자원봉사자를 모집합니다,20180724,sci 국제시민봉사회 부산경남지부,"일일 봉사, 주말 봉사, 정기적 모임",수시모집,제한없음,부산경남소재 대학생,"무활동 지역부산활동 기간모든 활동에는 강제성이 없이 자신이 원하는 날짜에 원하는 활동을 할 수 있습니다.활동 혜택 외교통상부에서 인정한 비영리민간단체 등록 제53호로써, 행안부에서 인정받은 봉사활동 확인서 발급이 가능합니다. 봉사시간 및 다양한 인맥오프라인 모임 횟 수 (월 x회)월1 회 (RM)지원하는 방법 홈페이지 가입 후 가입신청서 작성 홈페이지 : http://cafe.naver.com/scibusan공식 카페/블로그 및 SNS기타▼<담당자의 Q&A> 채워주시면  '스펙업 페이스북' 홍보 우선 대상자가 됩니다! <이 부분을 포함한 위의 두 줄은 삭제하고 글을 작성해주세요.>< 대외활동 담당자의 Q&A >Q. 지난번 경쟁률은 어땠나요?A.Q. 필요 역량 및",,부산,모든 활동에는 강제성이 없이 자신이 원하는 날짜에 원하는 활동을 할 수 있습니다.
 [컬발] 여러분이 하고 싶은 봉사는 무엇인가요? 청춘 기획봉사 컬러 발론티어 (~07/25) 내일 마감!!!!!,20180724,봉사단체 아띠,기획봉사,~07/25,10명,20~30대 초반 열정이 가득한 청춘,유 / 6개월에 2만원,기획 활동을 많이 해본 사람 / 봉사에 열정이 가득한 사람,서울/경기,2018.08.04~2019.08.04
 [광명사랑나눔]고등학생 친구들과 함께하는 청춘 기획봉사! 어서 지원해주세요!! (~07/25) 내일 마감!!,20180724,자원봉사단체 아띠,광명 사랑 나눔 봉사: 고등학생 멘토링 및 합동봉사,~07/25,8명,20대 성인 누구나!!! 30대 초반도 가능합니당,6개월에 2만원 / 봉사활동 및 운영 경비로 사용됩니다!,좋은 체력 이쁜 마음,경기도 광명시 / 서울 각 지역에서 비정기 봉사도 합니다,~12/31
 [부산국제여행영화제] 2018 부산국제여행영화제 자원봉사자 모집 (~8/12),20180724,(재)영화의전당,"상영관팀 : 상영관 관리 및 GV행사 진행 및 운영 / 실내 부대행사 및 안내데스크 관리 및 운영.행사운영팀 : 야외 프로그램 관리 및 운영 / 야외 안내데스크 관리 및 운영.미디어팀 : 사진 또는 영상 기록물 촬영 / 온,오프라인 프로모션 홍보퐐동 및 SNS 홍보 콘텐츠 제작.",2018년 7월 23일(월) ~ 8월 12일(일) 자정까지.,00명,'여행'과 '영화' 그리고 '지역축제'를 좋아하는 누구나 지원 가능합니다. (졸업생도 지원 가능합니다),비용은 무료입니다., 행사 기념품 제공,부산 영화의전당,"2018년 8월 31일(금) ~ 9월 2일(일), 3일간"
" 대학생 연합 토론교육봉사단체 ""대풍단"" 7기 모집(~8/10)",20180724,한국 청소년 문화진흥협회,"서울지역 3개 지부(수유, 홍대, 건대) 지역아동센터에서 토론교육 봉사를 실시(주 1회)전국토론대회에서 심사위원이나 토론 진행을 맡는 퍼실리테이터로 위촉되어 활동(매 학기 1회)프로그램 제작팀, 기획팀, 인프라 구축팀에 소속되어 팀 활동 진행매월 마지막 주 토요일 총회 진행토론활동지도사 3급 자격증 취득을 위한 자격증 교육 이수",7월 16일~8월 10일,00명,"토론을 좋아하고 교육을 사랑하는 휴학생, 재학생","한 학기 활동비 2만원 (MT 비용은 별도입니다)활동 지역수유 지부, 홍대(망원) 지부, 건대 지부활동 기간1년활동 혜택토론활동지도사 3급 자격증봉사시간오프라인 모임 횟 수 (월 x회)월 1회 이상매월 마지막 주 토요일 정기 총회팀 활동지원하는 방법(1) https://cafe.naver.com/daepoogdan/308 에서 지원서를 다운 받아주세요게시글 상단에 첨부파일 있습니다(2) 지원서 작성 후 dmstjs2009@gmail.com 으로 제출해 주세요공식 카페/블로그 및 SNS네이버 카페https://m.cafe.naver.com/daepoogdan페이스북https://www.facebook.com/%EB%8C%80%ED%95%99%EC%83%9D%ED%92%8D%EB%8E%85%EC%9D%B4%EB%B4%89%EC%82%AC%EB%8B%A8%EB%8C%80%ED%92%8D%EB%8B%A81414691041889091/모집일정1. 모집기간  7월 16일~8월 10일 2. 서류발표  8월 13일2. 면접일시  8월 16일~17일3. 합격자 발표  8월 18일 토요일< 대외활동 담당자의 Q&A >Q. 지난번 경쟁률은 어땠나요?A. 3대 1이었습니다Q. 필요 역량 및",,"수유 지부, 홍대(망원) 지부, 건대 지부",1년
 [사단법인 기억력스포츠협회] 2018 국제기억력대회 자원봉사자 모집 (~8/10),20180724,[사단법인 기억력스포츠 협회] 주최, 진행/안내 통역 채점 심판활동 (아비터 활동),~8월 10일,50명,"누구나 참여 가능합니다.이색대회에 관심이 있고, 국제대회 자원봉사가 해보고 싶다면 지원하세요! 서울, 경기, 수도권에 거주하시는 분 기억력대회 진행에 관심이 있으신 분 기억력대회 관련 지식이 없으셔도 됩니다.",없음, 성실하고 열정적인 분 호기심 많고 독특한 경험을 원하는 분 14개국에서 다양한 참가자가 오는 국제대회이기 때문에 외국어(영어 중국어 등) 가능자의 경우 우대해드립니다.,서울대학교 글로벌컨벤션 플라자,"1. 세미나: 8월 24(금) 오후 6시  9시2. 국제 대회: 8월 25(토)26일(일) 오전 9시  오후 6시(1,2 모두 가능, 국제대회 봉사 참여의 경우 양일 모두 참석해주세요.)"
" [한국내셔널트러스트] 청소년 교육 프로그램, '도전!러닝맨' 자원봉사자 모집(8월 15일)",20180724,:(사)한국내셔널트러스트,":1. 망우리문제출제자  묘역에서 문제출제, 기타 행사보조  봉사시간 8시간 (1365 기준 발급)2. 망우리러닝맨 서포터즈  사진 및 영상촬영과 sns 홍보, 참가자 접수  기존 참가자, 영상 및 홍보 관련학과 우선선발  봉사시간 10시간 (1365 기준 발급, 행사(8시간) + 온라인 홍보(2시간))",:10월까지상시 모집,:회 당 50명,:성인 남녀 / 졸업생 가능,:참가비 없음,": 2017년도 참가자 일정 참여 가능 횟수가 많을수록 망우리공원 서포터즈의 경우, 해당 관련 학과 우대",:서울시 중랑구 망우리공원,:3월4월5월6월8월9월10월17일(OT)7일5일6일15일1일13일24일23일15일4월 21일 행사는 취소되고 8월 15일 행사가 추가되었습니다.
 [서울국제초단편영화제]자원활동가 SESIFFian 2차 모집 (~7.24/오늘 마감!),20180724,서울국제초단편영화제,,2018년 7월 11일 ~ 7월 24일,20명,"영화제에 열정을 가지고 전 기간 동안 참여 가능한 사람자원활동가 선발,교육 및 각종 행사에 적극적으로 임할 수 있는 사람만18세 이상으로 한국어로 의사소통이 가능한 사람",없음,,서울시 영등포구 일대,오리엔테이션_2018년8원17일(금)발대식_2018년8월31일(금)제10회 서울국제초단편영화제_2018년9월11일(화) ~ 16일(일)해단식_2018년9월16일(일)
 [아띠펜도]일요일에 시간 어때요? 봉사팀 아띠펜도 11기 회원 모집(~8/8),20180724,아띠펜도 봉사팀,승가원에서 장애아동친구들과 함께하는 정기봉사와정기 봉사시간 내에 아띠펜도에서 직접 기획하고 준비하여 진행하는 기획봉사로 활동하고 있습니다!!봉사 후에는 아띠펜도의 친목을 다질 수 있는 꿀맛 저녁식사까지 최고최고시험기간에는 잠시 활동을 중지하니 부담 갖지 말고 지원해주세요!8월 18일 토요일 아띠펜도 OT가 예정되어 있습니다. 필참이니 참고해주세요.,8월 8일 수요일 오후 8시까지,10명,20대 봉사에 관심과 열정이 있으신 누구나 지원 가능합니다! 재학생 휴학생 졸업생 상관 없습니다,연 회비 2만원으로 봉사기획 지원비로 사용됩니다.,봉사에 관심 있는 활동적이고 긍정적인 마인드를 가진 모든 분들!!일요일에 시간 여유가 있으신 분들성실하게 봉사에 참여해주실 모든 분들 환영합니다 :),서울 성북구 안암역 10분거리 승가원 장애아동시설,2018년 12월까지!
 <운영진모집>Beyond 취업멘토링/영어교육봉사 단체에서 운영진을 모집합니다 (~7/27),20180723,Beyond Career Mentorship,취업 멘토링 / 영어 봉사 비영리단체,~7/27,O명,대학생,없음,없음,매달 상이,매달 4째주 토요일
 [광명사랑나눔]고등학생 친구들과 함께하는 청춘 기획봉사! 어서 지원해주세요!! (~07/25),20180723,자원봉사단체 아띠,광명 사랑 나눔 봉사: 고등학생 멘토링 및 합동봉사,~07/25,8명,20대 성인 누구나!!! 30대 초반도 가능합니당,6개월에 2만원 / 봉사활동 및 운영 경비로 사용됩니다!,좋은 체력 이쁜 마음,경기도 광명시 / 서울 각 지역에서 비정기 봉사도 합니다,~12/31
 2018 장애아동멘토링 봉사자 모집(~8/31),20180723,성북장애인복지관 2018 장애아동멘토링 봉사자 모집,"월3회 멘토(대학생)가 각 가정에 방문해서 학습지도, 독서지도 등 진행6개월에 한 번씩 멘토와 서점에서 책 구입하기, 보고 싶은 영화보기, 외식활동 등 진행",2018년 7월 23일~ 상시,"2명 (남자1명, 여자1명)",장애아동과 원활한 상호작용을 할 수 있는 대학(원)생 (재학생만가능),참가비용 무,,성북구,2018년 7월~12월
 [국제무용협회 한국본부]서울세계무용축제 자원활동가 모집(~8/5),20180723,국제무용협회 한국본부,"[의전통역팀]:공식 초청작 아티스트 팀 의전 및 통역. 영어 가능자 해외무용단 입/출국 및 시댄스 공식 일정(공연장/숙소 이동 등) 의전통역 문화동반자 연습 및 공연진행 통역 공연 셋업/철수 및 리허설, 부대행사(워크샵 등) 진행 통역*우대사항: 일본어/중국어/프랑스어 가능자  [기획홍보팀]:온/오프라인 홍보, 공연장 디스플레이 및 공연 관리, 기자간담회 등  기자간담회/ 현장 이벤트 / 부대행사 / 워크숍 진행 SNS 홍보, 현장취재, 공연팀 인터뷰, 사진 및 영상 촬영 MD판매, 공간 관리, 관객안내 등*우대사항: 다양한 아이디어를 가진 사람/밝고 에너지 넘치는 사람/하우스 어셔 및 축제 운영 경험자", 서류 접수 기간: 2018. 07. 11  08. 05 서류합격자 발표 : 2018. 08. 06.(월) [개별연락] 면접전형 : 2018. 08. 07.(화) 08. 09(목) 최종합격자 발표 : 2018. 8. 10.(금) [공식 홈페이지 공지 및 개별 연락],제한없음,"성인이라면 누구나 지원 가능 (졸업생도 가능),      단, 축제 시작 전 사전활동과 축제 기간 중 활동이 가능하여야 합니다.",없습니다.,위 활동내용에 명시하였습니다.,서울, 발대식: 2018. 08. 17.(금)  사전 활동기간: 2018. 08. 17(금)  09.24(월) 축제 활동기간 : 2018. 10. 01.(월)  10. 19.(금)
