,제목,활동처명,활동장소,봉사내용,모집 시작일,모집 마감일,활동 기간,생활 편의,국제 협력,환경,인권,재해/재난,농어촌,주거 환경,보건 의료,교육,행정 지원,상담,문화,체육,역사,동아리,여행,홍보,사회공헌,기획,언어,현장,기타,장애인,노인,외국인,노숙인,다문화가정,노동자,유아,여성,쪽방촌,청소년,지역사회,광역시/도,시/군/구,주소,위도,경도
760,제6회 김포한강평화마라톤대회 행사 보조 자원봉사자 모집,김포시체육회,김포종합운동장 및 대회코스,"*행사명 : 제6회 김포한강평화마라톤대회
*일  시 : 2018. 9. 2(일) 07:00~15:00
*장  소 : 김포종합운동장 및 대회코스
*활동내용 : 행사 보조 및 코스 안내, 행사장 정리
*문  의 : 마라톤사무국(031-998-4223)
*조식, 중식 제공",20180723,20180820,20180902 ~ 20180902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,경기도,김포시,경기 김포시 사우동 253,37.6172748,126.7193132
761,자원봉사자를 모집합니다 (오전),성동구립 사근동데이케어센터,사근데이케어센터 (3층),"안녕하세요 사근동데이케어센터입니다
자원봉사자를 모집합니다 고등학생이상
활동내용 : 어르신 활동보조, 청소
궁금하신 사항은 02-6956-0708 번으로 전화주세요",20180720,20180820,20180801 ~ 20180831,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,서울특별시,성동구,서울특별시 성동구 사근동길 37 3층 성동구립 사근동데이케어센터,37.5611752,127.04584720000001
762,자원봉사자를 모집합니다 (오후),성동구립 사근동데이케어센터,사근동데이케어센터 (3층),"안녕하세요
사근동데이케어센터입니다
고등학생이상 자원봉사자를 모집합니다
활동내용 : 어르신 활동보조, 청소
궁금하신 사항은 02-6956-0708 로 문의 주세요",20180720,20180820,20180801 ~ 20180831,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,서울특별시,성동구,서울특별시 성동구 사근동길 37 3층 성동구립 사근동데이케어센터,,
763,자원봉사자를 모집합니다(오전),성동구립 사근동데이케어센터,사근동데이케어센터 3층,"안녕하세요
사근동데이케어센터입니다 자원봉사자를 모집합니다 고등학생이상
활동내용 : 주방 보조
궁금하신 사항은 02-6956-0708 로 문의주세요",20180720,20180820,20180801 ~ 20180831,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,서울특별시,성동구,서울특별시 성동구 사근동길 37 3층 성동구립 사근동데이케어센터,37.5611752,127.04584720000001
764,주의력결핍 및 과잉행동 저학년 아동 집단미술치료교육 프로그램,부천종합사회복지관,부천종합사회복지관 분관(소사어울마당 4층) 프로그램실,"- 집단미술치료교육 프로그램 보조인력(프로그램 운영 협조)
- 참여 아동 관찰 및 모니터링 

★ 자격 : 사회복지학과, 상담학과, 교육학과 등 관련 학과 재학 또는 졸업자 
",20180713,20180820,20180822 ~ 20181121,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,경기도,부천시,경기 부천시 소사구 소사본2동 101-142,,
765,제2기 금복복지재단 사랑나눔봉사단 단원모집,대구광역시,, ,20180716,20180820,20180821 ~ 20181121,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,대구광역시,,달서구 성당로 291 3층,35.871435399999996,128.60144499999998
766,장애아동 대상 특수체육 활동 또는 레크레이션 진행해주실 담당 봉사자 모집,열손가락서로돌봄사회적협동조합,"경기도 안양시 만안구 창박로 41, 포커스라인프라자 201호","2018년 여름방학돌봄 (약 한달간 1주일에 요일을 정해 특별활동으로 미술활동을 갖는 형태입니다.)
*일자: 7월 30일, 8월 6일, 8월 13일, 8월 20일 (총4회, 일정이 안맞는 경우 요일 상의 가능)
*참여대상: 뇌성마비 장애아동 최대 6~7명, 보조 봉사자 5명 (장애이용자 대부분이 휠체어 이용이라 제한적인 부분이 있네요. ㅠㅠ)
*시간 및 내용: 10:30~12:00 이용자에게 특수체육 또는 레크레이션 프로그램 제공을 희망함.
*프로그램 담당 봉사자: 1명~2명, 관련 자격증이나 교육 경험이 있으신분이면 감사합니다. ^^
*문의: 010-6380-7040 최찬호, 031-444-1190 내선번호1번
*오시는길: 가장 간단한 방법은 네이버 지도앱에서 '열손가락 서로돌봄사회적 협동조합' 검색 후 길찾기
  - 버스로 오실 경우: 창박골 차고지 바로 전 종점 정류장에서 내립니다. 맞은편 길을 건너자 마자 좌측에 1층 홈마트 건물이 포커스프라자입니다.
    건물 2층 복도 나오자 마자 바로 오른쪽인 201호가 열손가락 서로돌봄 사회적협동조합입니다. ^^",20180716,20180820,20180730 ~ 20180820,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,경기도,안양시,"경기도 안양시 만안구 창박로 41 305(안양동, 포커스프라자)",37.3852859,126.9034513
767,"에너지의 날 부산행사 도우미(*고등학생 이상)부스운영 보조, 홍보 활동 외",부산환경운동연합,송상현 광장,"8.22(수) 오후2시~10시
고등학생 이상
부스운영 보조, 홍보 활동 외",20180717,20180820,20180822 ~ 20180822,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,부산광역시,동구,부산광역시 동구 중앙대로320번길 7-5 (2층),,
768,정서지원 및 여가활동 자원봉사,파주로하스재활요양병원,파주로하스재활요양병원,"1.노래교실 문화공연
- 월 1회 30분~40분 공연
- 재활병동에서 환우들을 위한 활동
- 활력증진 및 여가생활을 위한 문화공연지원 활동
- 레크레이션 및 노래활동, 공연 다양한 활동 진행 예정 
- 요일 및 자세한 일정(시간)은 봉사팀과 협의 후 진행 될 예정 입니다. 
",20180720,20180820,20180720 ~ 20181020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,경기도,파주시,경기도 파주시 숲속노을로 273 파주로하스재활요양병원,,
769,[8.21] 해모로 캠프 냅킨-부채 만들어 기증하기,해모로 캠프,해모로 카페테리아,"개인정보에서 봉사자연락처(전화번호) 꼭 입력하셔야 합니다.
연락처없는 봉사자는 봉사배치를 하지 않습니다.
 =================================================================== 
* 활동장소 : 정관한진해모로 카페테리아
* 활동시간 : 14:00~16:00(2시간)
* 활동내용 : 냅킨-부채 만들기

* 성인만 신청해주세요.
* 성인만 신청해주세요.
* 성인만 신청해주세요.
 =================================================================== 
-불참시 미리 취소해주셔야 다른 봉사자가 신청할 수 있습니다.
-신청확인 / 취소 : 로그인 -) 개인정보 -) 나의봉사활동관리 -)봉사신청내역 
-부산광역시 교육청 인정 기준에 따라 활동시간을 인정하지 않을 수 있습니다.",20180801,20180820,20180821 ~ 20180821,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,부산광역시,기장군,부산광역시 기장군 정관읍 정관로 548 관리동 2층,,
770,"고양시새마을회/ 장난감 소독 및 정리정돈을 위한 자원봉사자 모집(화,목)",(사)고양시새마을회,"고양시새마을회 고양, 일산역 전시관","고양시새마을회/ 장난감 소독 및 정리정돈을 위한 자원봉사자를 모집합니다. 

○ 활동일시 : 8월 1일 ~ 8월 31일 (화,목) 13:30~15:30 (2시간) 
* 자원봉사인증시간은 활동시간만큼만 가능합니다. 

○ 활동장소 : 고양시새마을회 고양, 일산역 전시관 

○ 활동내용 : 장난감 소독 및 정리정돈 

○ 신청대상 : 여자 중학생이상 

○ 문 의 : 고양시새마을회 장서윤 담당자 (031-902-2788) 

※ 활동은 승인 후 가능합니다. 
※ 활동 취소 시 승인건은 고양시자원봉사센터 031-906-1365로 전화주시기 바랍니다. 
※ 신청 후 무단결석을 할 경우 다음번 활동에 불이익이 있을 수 있습니다. - 자원봉사자 요청시 민간어린이집, 민간요양원, 병원 필수 확인!!(청소년만 해당) 
※ 수요처로 등록된 영리목적(민간어린이집, 요양원 등)에서 진행한 봉사실적은 학교 NEIS 등록시 담임선생님에 의해 승인이 거부 될 수도 있음 주의하시기 바랍니다.",20180720,20180820,20180801 ~ 20180831,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,경기도,고양시,"경기도 고양시 일산서구 고양대로 662번길,35",,
771,원전하나줄이기 정보센터 에너지 붕어빵캠프 봉사활동,서울시청 에너지시민협력과,원전하나줄이기 정보센터,"◈ 신청방법: 원전하나줄이기정보센터 홈페이지(https://energy.seoul.go.kr/seoul/infomation/program.jsp)의 교육프로그램에서 에너지 붕어빵캠프신청서를 다운받아 신청등록 해주시기 바랍니다.◈ 대상 : 서울시 거주 초등,중학생이 포함된 가족단위 ◈ 일자 : 8.06(월)~8.24(금) ◈ 시간 : 10:00~12:00(2시간) 총 15회 중 1회 참여 가능 ◈ 교육내용 - 태양광발전소 를 우리집으로,생활속 분리배출, 자원순환,미세먼지! 넌, 누구니? 등을 주제로 한 체험교육 - 에너지 절약과 효율화, 재생에너지 생산 등 현명한 에너지 소비문화 정보 공유&흥미로운 체험교육 ※ 체험 및 만들기 활동을 통해 만들어진 물품을 가지고 에너지 절약 홍보 캠페인 활동을 통해 봉사시간 2시간을 부여합니다. ◈ 장소 : 서울시 원전하나줄이기정보센터 (서울시청 서소문청사 1동 1층)",20180723,20180820,20180806 ~ 20180824,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,서울특별시,중구,서울특별시 중구  덕수궁길 15 서울시청 서소문청사 1동 12층,37.564262899999996,126.97467569999999
772,수원시정자동장애인주간보호시설 - 장애인 수영장 이용보조활동,수원시종합자원봉사센터,수원시 권선구 호매실로 211(호매실장애인복지관) 4층 수원시 정자동 장애인 주간보호시설,"1.일시 : 2018.08.24.(금) 09:00~16:00
2.장소 : 수원시 권선구 호매실로 211(호매실장애인복지관)4층 수원시정자동장애인주간보호시설에서 화성 하피랜드로 이동
3.내용 : 지적/뇌병변장애인 (연령대 10대~20대중반) 수영장 이용보조 (이동, 식사보조등) 
4.봉사인원 : 5명
5.요청사항 : 남성봉사자 필요합니다. 오전9시에 호매실복지관에 있는 시설로 모여서 버스를 이용하여 단체로 활동장소(하피랜드)로 이동합니다.
                  ** 중식제공**

",20180724,20180820,20180824 ~ 20180824,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,경기도,수원시,수원시 권선구 호매실로 211(호매실장애인복지관) 4층 수원시 정자동 장애인 주간보호시설,37.263346999999996,126.956825
773,FC서울 홈경기 자원봉사자 모집,서울특별시 마포구,상암월드컵경기장 북측광장 시계탑,"FC서울 홍보물 배부, 경기장 안내, 안전관리 등 (집결장소 : 상암월드컵경기장 북측광장 시계탑)",20180724,20180820,20180822 ~ 20180822,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,서울특별시,마포구,마포구 월드컵로 212,37.5637561,126.90842109999998
774,[전화신청] 대구남도초등학교 남도 여름 영어캠프 봉사자 모집,대구남도초등학교,남도초등학교,"* 전화신청만 가능합니다 *

* 활동명 : 남도 여름 영어캠프

* 활동일시 : 2018.8.20 (월) ~ 2018.8.24 (금) 오전 9:30 ~ 11:40 (5일간)

* 활동내용 : 원어민 수업 보조 및 참관

* 활동장소 : 남도초등학교 3층 영어체험실 및 3층 영어실1 

* 모집대상 : 대학 재학생 및 졸업생, 성인

* 모집인원 : 1명

* 모집기간 : 7.24 ~ 8.20

* 신청 및 문의 : 남도초등학교 양경옥 053-234-0847 , 010-7221-3563
 ",20180724,20180820,20180820 ~ 20180824,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,대구광역시,남구,대구 남구 현충동길 74,35.845157,128.5813263
775,"동대문구정보화도서관(화~일,10:00~12:00)자원봉사활동",동대문구정보화도서관,동대문구정보화도서관 자료실,"★꼭 확인해주세요★

-2018년 2월 이전 교육이수자 교육필수!!!(볼펜 지참)
-교육일자 : 8월 25일(토) 15시
-교육장소 : 1층 어린이소극장
※ 교육에 대한 사전 연락은 드리지 않으며, 미참석 시 활동 불가, 사전교육 조율 절대 불가

 필독★
- 접수 후 21일 이후에 승인처리됩니다.
- 1일 1회(2시간)만 활동, 1일 2회 이상 신청시 반려
- 월 3회 이상 활동필수 (월 3회 미만 신청시 반려)
- 30분 단위 인정불가.
- 봉사활동 확인서는 1365 홈페이지에서 본인이 직접 발급
- 봉사시간 승인은 다음 달 초에 발급받을 수 있습니다.(필요한 경우 미리 요청)
- 봉사신청 후 무단 불참 및 봉사태도 불량 시 다음 신청에 제한이 있습니다.
- 월 1/2 이상 불참 시 다음달 활동이 불가능합니다.
- 20시간 이상 활동 시, 대출권수 5권에서 8권으로 상향조정",20180801,20180820,20180901 ~ 20180930,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,서울특별시,동대문구,서울특별시 동대문구 회기로10길 60 동대문구정보화도서관,37.5899245,127.0472693
776,"동대문구정보화도서관(화~일,12:00~14:00)자원봉사활동",동대문구정보화도서관,동대문구정보화도서관 자료실,"★꼭 확인해주세요★

-2018년 2월 이전 교육이수자 교육필수!!!(볼펜 지참)
-교육일자 : 8월 25일(토) 15시
-교육장소 : 1층 어린이소극장
※ 교육에 대한 사전 연락은 드리지 않으며, 미참석 시 활동 불가, 사전교육 조율 절대 불가

 필독★
- 접수 후 21일 이후에 승인처리됩니다.
- 1일 1회(2시간)만 활동, 1일 2회 이상 신청시 반려
- 월 3회 이상 활동필수 (월 3회 미만 신청시 반려)
- 30분 단위 인정불가.
- 봉사활동 확인서는 1365 홈페이지에서 본인이 직접 발급
- 봉사시간 승인은 다음 달 초에 발급받을 수 있습니다.(필요한 경우 미리 요청)
- 봉사신청 후 무단 불참 및 봉사태도 불량 시 다음 신청에 제한이 있습니다.
- 월 1/2 이상 불참 시 다음달 활동이 불가능합니다.
- 20시간 이상 활동 시, 대출권수 5권에서 8권으로 상향조정",20180801,20180820,20180901 ~ 20180930,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,서울특별시,동대문구,서울특별시 동대문구 회기로10길 60 동대문구정보화도서관,,
777,"동대문구정보화도서관(화~일,14:00~16:00)자원봉사활동",동대문구정보화도서관,동대문구정보화도서관 자료실,"★꼭 확인해주세요★

-2018년 2월 이전 교육이수자 교육필수!!!(볼펜 지참)
-교육일자 : 8월 25일(토) 15시
-교육장소 : 1층 어린이소극장
※ 교육에 대한 사전 연락은 드리지 않으며, 미참석 시 활동 불가, 사전교육 조율 절대 불가

 필독★
- 접수 후 21일 이후에 승인처리됩니다.
- 1일 1회(2시간)만 활동, 1일 2회 이상 신청시 반려
- 월 3회 이상 활동필수 (월 3회 미만 신청시 반려)
- 30분 단위 인정불가.
- 봉사활동 확인서는 1365 홈페이지에서 본인이 직접 발급
- 봉사시간 승인은 다음 달 초에 발급받을 수 있습니다.(필요한 경우 미리 요청)
- 봉사신청 후 무단 불참 및 봉사태도 불량 시 다음 신청에 제한이 있습니다.
- 월 1/2 이상 불참 시 다음달 활동이 불가능합니다.
- 20시간 이상 활동 시, 대출권수 5권에서 8권으로 상향조정",20180801,20180820,20180901 ~ 20180930,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,서울특별시,동대문구,서울특별시 동대문구 회기로10길 60 동대문구정보화도서관,,
778,"동대문구정보화도서관(화~일,16:00~18:00)자원봉사활동",동대문구정보화도서관,동대문구정보화도서관 자료실,"★꼭 확인해주세요★

-2018년 2월 이전 교육이수자 교육필수!!!(볼펜 지참)
-교육일자 : 8월 25일(토) 15시
-교육장소 : 1층 어린이소극장
※ 교육에 대한 사전 연락은 드리지 않으며, 미참석 시 활동 불가, 사전교육 조율 절대 불가

 필독★
- 접수 후 21일 이후에 승인처리됩니다.
- 1일 1회(2시간)만 활동, 1일 2회 이상 신청시 반려
- 월 3회 이상 활동필수 (월 3회 미만 신청시 반려)
- 30분 단위 인정불가.
- 봉사활동 확인서는 1365 홈페이지에서 본인이 직접 발급
- 봉사시간 승인은 다음 달 초에 발급받을 수 있습니다.(필요한 경우 미리 요청)
- 봉사신청 후 무단 불참 및 봉사태도 불량 시 다음 신청에 제한이 있습니다.
- 월 1/2 이상 불참 시 다음달 활동이 불가능합니다.
- 20시간 이상 활동 시, 대출권수 5권에서 8권으로 상향조정",20180801,20180820,20180901 ~ 20180930,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,서울특별시,동대문구,서울특별시 동대문구 회기로10길 60 동대문구정보화도서관,37.5899245,127.0472693
779,우리동네클린사업 환경정화활동,태평2동주민센터,주민센터~태평오거리~수침교~태평교 등,○ 일 시 : 2018.8.21.(화) 9:00~11:00 ○ 모집장소 : 태평2동주민센터 ○ 봉사장소 : 주민센터~태평오거리~수침교~태평교 등 ○ 모집인원 : 50명 ○ 행사내용 : 깨끗한 우리동네를 만들기 위한 불법광고물 및 쓰레기 수거 등 ○ 문 의 : 태평2동 주민센터(☎042-522-8992),20180726,20180820,20180821 ~ 20180821,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,대전광역시,중구,대전 중구 태평2동 393-2,37.4471091,127.1387186
780,청소년유해환경감시 활동/마동일대/집결: 동부시장 오거리 파리바게트 앞/857-8910 홍진,(사)익산YWCA,마동 일대,"청소년유해환경감시 및 순찰활동, 마동 일대, 집결: 동부시장 오거리 파리바게트 앞, 문의 857-8910 홍진 010-4241-3515 이은미, 
걷기편한 신발, 간편한 복장",20180726,20180820,20180820 ~ 20180820,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,전라북도,익산시,전라북도 익산시 평동로 649 2층 익산YWCA,,
781,일산동구보건소/ 보건소 방문건강관리사업 업무보조 자원봉사자 모집(오전),고양시일산동구보건소,일산동구보건소,"일산동구보건소/ 보건소 방문건강관리사업 업무보조 자원봉사자를 모집합니다. 

○ 활동일시 : 8월 2일 ~ 8월 30일 (화,목) 9:00~12:00(3시간) 
* 봉사당일 및 공휴일 신청시 반려될 수 있습니다. 
* 자원봉사인증시간은 활동시간만큼만 가능합니다. 

○ 활동장소 : 일산동구보건소 

○ 활동내용 : 보건소 방문건강관리사업 업무보조 (약품 및 소모품 정리, 독거어르신 가정방문 청소도움, 어르신말벗 등) 

○ 신청대상 : 중학생이상 

○ 문 의 : 일산동구보건소 강형경 담당자 (031-8075-4144) 

※ 활동은 승인 후에 가능합니다. 
※ 활동 취소 시 승인건은 고양시자원봉사센터 031-906-1365로 전화주시기 바랍니다. 
※ 신청 후 무단결석을 할 경우 다음번 활동에 불이익이 있을 수 있습니다. - 자원봉사자 요청시 민간어린이집, 민간요양원, 병원 필수 확인!!(청소년만 해당) 
※ 수요처로 등록된 영리목적(민간어린이집, 요양원 등)에서 진행한 봉사실적은 학교 NEIS 등록시 담임선생님에 의해 승인이 거부 될 수도 있음 주의하시기 바랍니다.",20180726,20180820,20180802 ~ 20180830,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,경기도,고양시,"경기도 고양시 일산동구 중앙로 1228, 2층",,
782,일산동구보건소/ 보건소 방문건강관리사업 업무보조 자원봉사자 모집(오후),고양시일산동구보건소,일산동구보건소,"일산동구보건소/ 보건소 방문건강관리사업 업무보조 자원봉사자를 모집합니다. 

○ 활동일시 : 8월 2일 ~ 8월 30일 (화,목) 13:00~16:00(3시간) 
* 봉사당일 및 공휴일 신청시 반려될 수 있습니다. 
* 자원봉사인증시간은 활동시간만큼만 가능합니다. 

○ 활동장소 : 일산동구보건소 

○ 활동내용 : 보건소 방문건강관리사업 업무보조 (약품 및 소모품 정리, 독거어르신 가정방문 청소도움, 어르신말벗 등) 

○ 신청대상 : 중학생이상 

○ 문 의 : 일산동구보건소 강형경 담당자 (031-8075-4144) 

※ 활동은 승인 후에 가능합니다. 
※ 활동 취소 시 승인건은 고양시자원봉사센터 031-906-1365로 전화주시기 바랍니다. 
※ 신청 후 무단결석을 할 경우 다음번 활동에 불이익이 있을 수 있습니다. - 자원봉사자 요청시 민간어린이집, 민간요양원, 병원 필수 확인!!(청소년만 해당) 
※ 수요처로 등록된 영리목적(민간어린이집, 요양원 등)에서 진행한 봉사실적은 학교 NEIS 등록시 담임선생님에 의해 승인이 거부 될 수도 있음 주의하시기 바랍니다.",20180726,20180820,20180802 ~ 20180830,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,경기도,고양시,"경기도 고양시 일산동구 중앙로 1228, 2층",37.652198600000006,126.7793998
783,2018 광주예술난장 굿판 자원봉사자 모집,광주광역시 남구,대촌전통문화 커뮤니티센터(광주광역시 남구 포충로 937),"2018 광주예술난장 굿판 10주년을 함께 만들어 가실 자원봉사자를 찾습니다!
* 일 시 : 2018. 8. 25.(토) / 8. 26.(일) 14:00~22:00
* 장 소 : 대촌전통문화 커뮤니티센터(전통문화연구소 얼쑤) -> 광주광역시 남구 포충로 937
* 인 원 : 문화예쑬을 사랑하는 고등학생 이상 45명
* 내 용 : 공연장 운영(무대스탭, 객석관리, 행사장안내, 의료지원, 도깨비역할, 행사장 안전요원, 영상지원 등)
* 참 고 : 고등학생 이상 지원가능 / 25, 26일 이틀 활동 가능하신분들 지원해주세요!(티셔츠 지급때문에^^, 식사, 음료 제공)",20180727,20180820,20180825 ~ 20180826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,광주광역시,남구,광주광역시 남구 포충로 937,35.085753100000005,126.866648
784,2018 대한민국 쿨상상 환경음악회 행사진행보조,환경문화축제조직위원회,전주덕진공원 수변무대(행사장),"2018 대한민국 쿨상상 환경음악회 행사진행보조

* 저녁식사 간편식제공(밥버거,식수)
* 자유복장, 시간엄수바람
* 문의 : 010-6603-5385(사무총장 곽효복)",20180727,20180820,20180818 ~ 20180825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,전라북도,전주시,전라북도 전주시 덕진구 안덕원로 176 ,,
785,[하안종합사회복지관] 경로식당 자원봉사활동(배식 및 청소 등),하안종합사회복지관,하안종합사회복지관 경로식당,"1. 모집대상 : 남녀무관 / 고등학생~성인 
2. 모집인원 : 7명
3. 장소 : 하안종합사회복지관 경로식당 (경기도 광명시 하안로238)
4. 봉사일시 : 2018.8.3(금) ~ 2018.8.21(토) / 오전10시 ~ 오후2시
5. 봉사인정시간 : 4시간
6. 안내 : 
- 봉사 신청 후 반드시 070-4361-6036으로 전화주세요.",20180730,20180820,20180803 ~ 20180824,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,경기도,광명시,경기도 광명시 하안로 238 하안종합사회복지관 신관 B동 3층 사무실,,
786,할인가맹점 격려물품 전달 자원봉사자 모집,중구자원봉사센터,중구관내,"일시 : 8/6일 ~ 8/31 ( 매주 평일 월~금)
시간 : 2시부터 5시까지
내용 : 할인가맹점 격려물품전달
문의처 : 중구자원봉사센터 053-254-6367 
",20180727,20180820,20180806 ~ 20180831,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,대구광역시,중구,대구광역시 중구 달구벌대로 1960 남산휴먼시아 1단지 103동 상가,,
787,[하안종합사회복지관] 경로식당 자원봉사활동(배식 및 청소 등),하안종합사회복지관,하안종합사회복지관 경로식당,"1. 모집대상 : 남녀무관 / 고등학생~성인 
2. 모집인원 : 5명
3. 장소 : 하안종합사회복지관 (경기도 광명시 하안로238)
4. 봉사일시 : 2018.8.17(금) , 23(목) / 오전10시 ~ 오후2시
5. 봉사인정시간 : 4시간
6. 안내 : 
- 봉사 신청 후 반드시 070-4361-6036으로 전화주세요.",20180801,20180820,20180817 ~ 20180823,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,경기도,광명시,경기도 광명시 하안로 238 하안종합사회복지관 신관 B동 3층 사무실,,
788,동대문구답십리도서관 자료실 업무지원(09:00~11:00),답십리도서관,동대문구답십리도서관,"★ 주의사항을 꼭 읽어주세요.★
○ 모집대상 : 동대문구립도서관 회원 중 청소년 및 성인(초등학생 불가) 
○ 활동내용 : 자료실(1~3층) 서가 정리 및 환경 정리, 프로그램 진행 보조 등 업무 지원
 
※ 정기휴관일 : 매주 금요일  (8/7, 14, 21, 28)
※ 법정공휴일 : 9/23 ~ 26
 - 미참석자 활동불가!  - 월3회 이상 활동자 봉사 1시간 인정
※ 교육대상 : 신청 승인자
※ 교육일자 : 8월 25일(토) 오후3시 
※ 교육장소 : 동대문구답십리도서관 1층 세미나실
※ 준 비 물 : 동대문구립도서관 회원증  (단, 2018년 2월 이후 사전교육 이수자 면제!)

※ 동대문구립도서관 회원만 자원봉사가 가능합니다.(사전교육일 회원가입가능/신분증 지참) 
※ 월 20시간 이상 자원봉사자는 도서 대출권수를 1년간 상향조정 해드립니다.(5권 → 8권)
※ 월 3회 이상, 1일 1회만 활동해야 합니다(1일 2회 이상 월 3회 미만 신청시 신청이 반려됩니다). 
※ 봉사신청 후 무단 불참 시 다음 봉사활동 신청에 제한을 받을 수 있습니다.
문의: 02-2216-9407, 종합자료2관 사서 최연경(3층)",20180801,20180820,20180901 ~ 20180930,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,서울특별시,동대문구,서울특별시 동대문구 서울시립대로4길 75 ,,
