,제목,활동처명,활동장소,봉사내용,모집 시작일,모집 마감일,활동 기간,생활 편의,국제 협력,환경,인권,재해/재난,농어촌,주거 환경,보건 의료,교육,행정 지원,상담,문화,체육,역사,동아리,여행,홍보,사회공헌,기획,언어,현장,기타,장애인,노인,외국인,노숙인,다문화가정,노동자,유아,여성,쪽방촌,청소년,지역사회,광역시/도,시/군/구,주소,위도,경도
68,제37회 강동구협회장배 테니스대회,강동구체육회,강일테니스코트,안전지도 및 주차 관리,20180704,20180713,20180630 ~ 20180630,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Seoul,Gangdong-gu,"41 Cheonho-dong, Gangdong-gu, Seoul, South Korea",37.5457299,127.1412042
69,제주문화원 봉사공연,제주문화원,제주문화원,제주문화원 제주신화전설인형극단 봉사공연- 기간: 7월~11월- 경로당 요양원 어린이집 등 매월 1회 봉사공연* 매주 화요일마다 봉사공연 연습,20180628,20180629,20180703 ~ 20181127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Jeju-do,Cheju,"1262 Samdo 2(i)-dong, Cheju, Jeju-do, South Korea",33.5181503,126.5240043
70,"화성문화원과 함께 하는 문화가 있는 날 ""마지막 광대 화성人"" 공연",화성문화원,전곡항,문화가 있는 날 공연을 합니다.-공연명 : 마지막 광대 화성人-내 용 : 발탈 시낭송 이동안류 춤 등시낭송 시 반주자인 경우는 국악기 또는 서양악기 연주자로 상관 없습니다.,20180628,20180629,20180728 ~ 20180728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Gyeonggi-do,Hwaseong-si,"287-1 Haengjeong-ri, Hyangnam-eup, Hwaseong-si, Gyeonggi-do, South Korea",37.1318924,126.9208483
71,제4회 강남구청장배 풋살대회,강남구체육회,강남구 개포동 마루공원 풋살경기장,1) 대 회 명 : 제4회 강남구청장배 풋살대회2) 일 시 : 2018년 7월 15일 일요일3) 주 최 : 강남구체육회4) 주 관 : 강남구풋살연맹5) 후 원 : 강남구6) 장 소 : 마루공원 풋살장7) 시 간 : 09:00~12:008) 인 원 : 8명9) 내 용 : 행사보조 및 주차안내 행사장 주변정리담당자 010-5137-0806 (전성훈),20180628,20180629,20180715 ~ 20180715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Irwon-dong,Gangnam-gu,"South Korea, Seoul, Gangnam-gu, Irwon-dong, 마루공원",37.4969063,127.0804893
72,통영대발 제작체험,통영문화원,삼도수군통제영 백화당,삼도수군통제영 백화당에서 진행하는 '국가지정무형문화재 통영대발 제작체험' 시 안내와 질서유지를 진행해줄 봉사자를 모집합니다. 전통문화에 대한 이해가 있는 분이면 좋겠습니다. 6월 27일 문화의 날 오후 1시에서 5시까지 입니다.,20180628,20180629,20180627 ~ 20180627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Gyeongsangnam-do,Tongyeong-si,"Munhwa-dong, Tongyeong-si, Gyeongsangnam-do, South Korea",34.8472457,128.423553
73,제4회 강남구청장배 풋살대회,강남구체육회,강남구 개포동 마루공원 풋살경기장,1) 대 회 명 : 제4회 강남구청장배 풋살대회2) 일 시 : 2018년 7월 15일 일요일3) 주 최 : 강남구체육회4) 주 관 : 강남구풋살연맹5) 후 원 : 강남구6) 장 소 : 마루공원 풋살장7) 시 간 : 13:00~16:008) 인 원 : 8명9) 내 용 : 행사보조 및 주차안내 행사장 주변정리담당자 010-5137-0806 (전성훈),20180628,20180629,20180715 ~ 20180715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Irwon-dong,Gangnam-gu,"South Korea, Seoul, Gangnam-gu, Irwon-dong, 마루공원",37.4969063,127.0804893
74,2018 꿈이자람 교실 프리테니스 운영지원 봉사자 모집,사단법인 한국프리테니스협회,서울시 강서구 강서로 5길 50 곰달래복지센터 한국프리테니스협회 203호,* 2018 꿈이자람 교실 프리테니스 운영지원 봉사자 모집 *주최 : 신정초등학교 학부모회후원 : 곰달래도서관  신정초등학교  강서구 다문화 가족지원센터지원 : 사)한국프리테니스협회봉사기간 : 2018년 6월 27일 (수) ~ 7월 11일 (수) 09:00 ~ 12:00 <매주 수요일>장소 : 서울시 강서구 강서로5길 50 곰달래복지센터 한국프리테니스협회 203호모집 기간 : 6월 25일 ~ 7월 11일모집 대상 : 청소년  성인 <프리테니스에 관심있는 아이도 좋습니다>봉사 시간 6월 27 ~ 7월 11일까지 일시간 파트별로 신청 가능(EX : 27일 1~3파트 신청합니다  11일 23파트 신청 합니다)09 : 00 ~ 10 : 00 <1파트>10 : 00 ~ 11 : 00 <2파트>11 : 00 ~ 12 : 00 <3파트>봉사 업무 내용 : 프리테니스 운영 지원 및 사진 촬영  프리테니스 시범TEL : 02-2646-8808,20180628,20180629,20180627 ~ 20180711,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,Gangseo-ro,Gangseo-gu,"South Korea, Seoul, Gangseo-gu, Gangseo-ro, 구강 서 5 길 50 번지",37.5290053,126.848921
75,제주문화원 봉사공연,제주문화원,제주문화원,제주문화원에서 작은예수회에 봉사공연을 갑니다.-일시: 6월 26일 3시~장소: 작은예수회내용: 제주신화전설인형극 봉사공연,20180628,20180629,20180626 ~ 20180626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Jeju-do,Cheju,"1262 Samdo 2(i)-dong, Cheju, Jeju-do, South Korea",33.5181503,126.5240043
76,도봉문화원 필하모닉 오케스트라 제13회 향상연주회 봉사,도봉문화원,도봉문화원,※도봉 오케스트라 회원만 접수바랍니다.- 일시: 2018.6.30(토) 14:00~18:00- 장소: 도봉문화원 음악실- 내용: 도봉문화원 오케스트라 향상연주회,20180628,20180629,20180630 ~ 20180630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Seoul,Dobong-gu,"303 Chang 5(o)-dong, Dobong-gu, Seoul, South Korea",37.6542196,127.0389333
77,2018 다문화가정 생활체육 패밀리데이,부산광역시남구체육회,김해 장유 롯데워터파크,참가자 인솔,20180625,20180629,20180701 ~ 20180701,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Gimhae-si,Gyeongsangnam-do,"South Korea, Gyeongsangnam-do, Gimhae-si, 신문동 1617번지",35.179663,128.828112
78,토요전통문화체험,송파문화원,석촌호수 서호(서울놀이마당),1.일시:2018.06.23(토)2.장소:서울놀이마당3.내용:전통문화체험 부스 운영(전래놀이 수공예 페이스페인팅)*본 봉사활동은 송파문화봉사단이 운영하며 일반봉사 활동이 아니오니 신청시 유의하시기 바랍니다.,20180625,20180629,20180623 ~ 20180623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,Seoul,Songpa-gu,"47 Jamsil 3(sam)-dong, Songpa-gu, Seoul, South Korea",37.509032,127.0978257
79,제주문화원 공연 행사 안내 등,제주문화원,김만덕기념관,- 제주문화원 공연 느영나영토일예술학교 발표회- 안내 등- 6월 23일 1시~ 7시관심있으신 분은 연락바랍니다.제주문화원 722-0203,20180625,20180629,20180623 ~ 20180623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,Jeju-do,Cheju,"7 Sanji-ro, Geonip-dong, Cheju, Jeju-do, South Korea",33.5159804,126.5304208
80,82회 그린웨이 걷기대회,강동구체육회,일자산잔디광장,안전관리 및 교통봉사,20180625,20180629,20180623 ~ 20180623,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Seoul,Gangdong-gu,"41 Cheonho-dong, Gangdong-gu, Seoul, South Korea",37.5457299,127.1412042
81,문화가 있는 날 선비과거길 체험,구미문화원,구미시 산동면 구미확장단지 선비공원,어린이들 인솔 및 안전요원,20180625,20180629,20180627 ~ 20181128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Gyeongsangbuk-do,Gumi-si,"Sandong-myeon, Gumi-si, Gyeongsangbuk-do, South Korea",36.1697339,128.4341637
82,서울 양천구 선데이파크 프리테니스와 함께 가족건강놀이터 운영지원 봉사자 모집,사단법인 한국프리테니스협회,서울시 양천구 신정동 320 양천공원 광장,* 2018 서울 양천구 선데이파크 프리테니스와 함께 가족건강놀이터 운영지원 봉사자 모집 *주최 : 서울특별시  양천구보건소봉사기간 : 2018년 6월 23일 (토) ~ 6월 24일 (일) 10:00 ~ 14:00장소 : 서울 목동 양천공원 광장모집 기간 : 6월 18일 ~ 6월 24일모집 대상 : 청소년  성인 <프리테니스에 관심있는 아이도 좋습니다>봉사 시간 6월 23 ~ 24일까지 일시간 파트별로 신청 가능(EX : 23일 1~3파트 신청합니다  24일 2파트 신청 합니다)10 : 00 ~ 11 : 00 <1파트>11 : 00 ~ 12 : 00 <2파트>12 : 00 ~ 13 : 00 <3파트>13 : 00 ~ 14 : 00 <4파트>봉사 업무 내용 : 프리테니스 운영 지원 및 사진 촬영  프리테니스 시범  프리테니스 체험 고객 응대TEL : 02-2646-8808,20180625,20180629,20180623 ~ 20180624,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,Seoul,Sinjeong 2(i)-dong,"Sinjeong 2(i)-dong, Seoul, South Korea",37.51799,126.869808
83,도봉구 문화재(초안산 조선시대 내시묘길) 주변 환경정리,도봉문화원,도봉구 문화재 주변,"도봉구 역사문화탐방 ""2018.토요탐방 도봉기행"" 참가자 모집6월 23일 - 3길 : 초안산 조선시대 내시묘길도봉문화정보도서관(집결)-초안산 분묘군(밀양박씨묘 내시승극철부부묘녹천정각심재이명묘역)-이명신도비(해산)토요일마다 문화관광해설사와 함께 도봉구 곳곳에 숨어 있는 문화재를 찾아 다닙니다.(자세한 코스 안내 ↓↓↓)http://www.dobong.or.kr/contents/?ca_id=4020- 도봉구 문화재 주변 환경정리* 봉사 신청 후 도봉문화원 사무실로 전화해 주시기 바랍니다.TEL : 02) 905 - 4026",20180625,20180629,20180623 ~ 20180623,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Seoul,Dobong-gu,"303 Chang 5(o)-dong, Dobong-gu, Seoul, South Korea",37.6542196,127.0389333
84,토요전통문화체험,송파문화원,석촌호수 서호(놀이마당),1.일시:2018.06.16(토)2.장소:서울놀이마당3.내용:전통문화체험 부스 운영(전래놀이 수공예 페이스페인팅)*본 봉사활동은 송파문화봉사단이 운영하며 일반봉사 활동이 아니오니 신청시 유의하시기 바랍니다.,20180615,20180616,20180616 ~ 20180616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,Seoul,Songpa-gu,"47 Jamsil 3(sam)-dong, Songpa-gu, Seoul, South Korea",37.509032,127.0978257
85,단오 한마당 체험부스 운영,송파문화원,거여공원,1.일시:2018.06.16(토)2.장소:거여공원3.내용:페이스페인팅 체험부스 운영*본 봉사활동은 송파문화봉사단이 운영하며 일반봉사 활동이 아니오니 신청시 유의하시기 바랍니다.,20180615,20180616,20180616 ~ 20180616,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Geoyeo-dong,Songpa-gu,"South Korea, Seoul, Songpa-gu, Geoyeo-dong, 거여공원",37.4968796,127.1417055
86,2018 상반기 성북동 문화재야행 자원봉사자 모집,성북문화원,서울시 성북구 성북동 일대,서울시 성북구에서는 성북동 일대의 야간형 문화관광콘텐츠'성북동 문화재야행' 행사를 개최합니다.행사진행 및 관광객 안내를 위한 자원봉사자를 모집하고 있으니 관심있는 분들의 많은 참여바랍니다.※봉사시간 중에 하루만 가능하신분도 신청 가능합니다.2018.06.20.(수) 22(금)~23(토)<자원봉사자 모집>ㅇ봉사기간-교육일정 : 2018.06.20.(수) 18시~21시-축제당일 : 2018.06.22.(금)~2018.06.23.(토) 15시~23시(교육 봉사당일 석식제공)ㅇ봉사분야 : 축제행사ㅇ모집기간 : 2018.06.12.(화)~ 2018.06.21.(수)ㅇ봉사자 유형: 성인ㅇ모집인원: 60명ㅇ모집기관: 성북문화원ㅇ봉사장소: 서울특별시 성북구 성북로 일대ㅇ문의전화: 070-7555-4216ㅇ봉사과업- 교육기간에는 <2018성북동문화재야행>에 대한 개요를 알고 정보를 수집하고 축제 장소를 견학합니다.- 관람객들에게 행사를 안내하고 안전과 편의를 도모합니다.- 문화재를 안내하고 안전관리와 도장(스탬프)부스를 운영합니다.- 성북명인전 소리의 길 등 뮤지션들의 공연을 보조 합니다.- 각종 체험부스를 보조하고 관람객들을 안내합니다.- 축제 기간 동안 운행되는 버스 안과 정류소에서 관람객들을 안내합니다.- 메인거리 구조물 모니터링과 환경미화에 힘씁니다.- 미아보호소 분실물 센터 응급실 등 업무를 보조합니다.,20180615,20180616,20180620 ~ 20180623,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Seoul,Seongbuk-gu,"Seongbuk-dong, Seongbuk-gu, Seoul, South Korea",37.5909485,127.003439
87,도봉구 문화재(무수골 조선시대 왕족묘길) 주변 환경정리,도봉문화원,도봉구 문화재 주변,"도봉구 역사문화탐방 ""2018.토요탐방 도봉기행"" 참가자 모집6월 16일 - 2길 : 무수골 조선시대 왕족묘길도봉산 목공체험장 앞(집결)-유희경 이매창 시비-도봉사-전주이씨 영해군 파 묘역-무수골 느티나무앞(해산)토요일마다 문화관광해설사와 함께 도봉구 곳곳에 숨어 있는 문화재를 찾아 다닙니다.(자세한 코스 안내 ↓↓↓)http://www.dobong.or.kr/contents/?ca_id=4020- 도봉구 문화재 주변 환경정리* 봉사 신청 후 도봉문화원 사무실로 전화해 주시기 바랍니다.TEL : 02) 905 - 4026",20180615,20180616,20180616 ~ 20180616,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Seoul,Dobong-gu,"303 Chang 5(o)-dong, Dobong-gu, Seoul, South Korea",37.6542196,127.0389333
88,제57회 탐라문화제 진행요원 모집,한국예총제주도연합회,제주시 탐라문화 광장 일원,？ 제57회 탐라문화제 행사개요？ 기 간 : 2018. 10. 10(수) ~ 10. 14(일) [5일간]？ 장 소 : 제주시 탐라문화광장 일대？ 주 최 : 한국예총제주특별자치도연합회？ 주 관 : 제57회 탐라문화제추진위원회？ 제57회 탐라문화제 진행요원 모집내용1. 모집대상 : 제57회 탐라문화제 진행요원2. 모집기간 : 2018. 6. 11(월) ~ 6. 29(금)3. 모집인원 : 25명(선착순 모집)4. 신청자격 : 20세 이상 - 40세 이하5. 참가신청 방법 : 팩스 E-mail 우편 방문 신청？ 주소 : 제주시 동광로 51 5층 제57회 탐라문화제추진위원회？ FAX : 753-3286. ？ E-mail : 0969bjh@hanmail.net6. 주요업무 : 행사진행보조 등7. 근무기간 및 시간 : 2018. 10. 5(금) ~ 10. 15(월) 09:00 ~ 22:008. 수당지급 : 1일 십만원(￦100000)※ 중식 석식은 제공되며 행사진행 여건에 따라 퇴근 시간은 변경될 수 있음.※ 문의처 : 제 57회 탐라문화제추진위원회 064)753-3287 725-3287※ 신청서 양식 : 별첨,20180615,20180616,20181004 ~ 20181015,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Jeju-do,Cheju,"2459-2 Arail-dong, Cheju, Jeju-do, South Korea",33.4866568,126.5394081
89,요양원 어르신 대상 전통문화공연 봉사하실분 모집,속초문화원,성암노인복지센터(성암요양원),요양원을 방문 어르신 대상으로 민요등 다양한 공연및 문화체험 봉사 하실분을 모집합니다.장소 : 성암노인복지센터일시 : 6월18(월) 14:30~15:30,20180615,20180616,20180618 ~ 20180618,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Gangwon-do,Sokcho-si,"1435-1 Joyang-dong, Sokcho-si, Gangwon-do, South Korea",38.1914981,128.5994008
90,제57회 탐라문화제 서포터즈 ‘오백장군’ 3기 공모,한국예총제주도연합회,제주시 탐라문화 광장 일원,1. 공모개요가. 공 모 명 : 제57회 탐라문화제 서포터즈 ‘오백장군’ 3기나. 모집대상- 청소년부 : 도내 중·고등학생- 일반부 : 만19세 이상 29세 미만의 제주도내 거주자다. 신청기간 : 2018. 6. 11(월) ~ 7. 13(금) 17:00까지라. 활동기간 : 2018. 7. 23(월) ~ 10. 19(금)2. 공모내용가. 모집인원 : 40명 ( 청소년부 : 20명 일반부 20명)？모집 상황에 따라 인원 수 조정 가능나. 지원자격- 탐라문화제에 대해 관심이 많고 열성적으로 축제에 참여할 사람- 다양한 방식으로 탐라문화제를 홍보할 수 있는 창의적인 사람- 사진·영상 촬영 및 편집 가능한 사람- 블로그 페이스북 등 SNS 활동을 활발히 하는 사람다. 활동내용- 직접 기획한 콘텐츠를 탐라문화제 SNS 및 개인 SNS에 홍보- 서포터즈팀으로 제주문화 가장 퍼레이드 참여- 사전행사 홍보 및 참여- 축제 현장 사진 혹은 동영상으로 편집하여 홍보물 제작라. 활동혜택- 제3기 오백장군 서포터즈 수료증 발급 (80% 이상 활동 시 지급)？수료증은 오리엔테이션 필수 참석 시 발급 가능- 봉사 활동 시간 제공- 제57회 탐라문화제 참가 및 공연 관람 제공- 활동우수자 및 활동우수팀 선정하여 상장 수여- 서포터즈 활동 기념품 제공 (티셔츠)- 활동 기간 중 소정의 활동비(교통비 및 식권) 제공3. 신청 방법가. 신청서 접수 : 방문 우편 팩스 및 이메일 접수- 우편접수 : (63196)제주시 동광로 51 5층제57회 탐라문화제 추진위원회 담당자 앞- 팩 스 : 064-753-3286 ※팩스 송신 후 반드시 접수확인 전화- 이 메 일 : 0969bjh@hanmail.net- 신청서식 : 참가신청서 (첨부파일 참조)나. 문의처 : 제57회 탐라문화제추진위원회 064)753-3287 725-32874. 최종 발표 : 2018년 7월 16일(월) 개별 연락？ 2018년 7월 20일(금) 오리엔테이션 예정,20180615,20180616,20180723 ~ 20181019,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Jeju-do,Cheju,"2459-2 Arail-dong, Cheju, Jeju-do, South Korea",33.4866568,126.5394081
91,토요전통문화체험,송파문화원,석촌호수 서호(서울놀이마당),1.일시:2018.06.09(토)2.장소:서울놀이마당3.내용:전통문화체험 부스 운영(전래놀이 수공예 페이스페인팅)*본 봉사활동은 송파문화봉사단이 운영하며 일반행사 활동이 아니오니 신청시 유의하시기 바랍니다.,20180615,20180616,20180609 ~ 20180609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,Seoul,Songpa-gu,"47 Jamsil 3(sam)-dong, Songpa-gu, Seoul, South Korea",37.509032,127.0978257
92,제29회 강동구청장배 축구대회,강동구체육회,성내유수지축구장,안전지도 및 주차관리,20180615,20180616,20180617 ~ 20180617,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Seoul,Gangdong-gu,"유수지, Cheonho 2(i)-dong, Seoul",37.5447222,127.1222222
93,제4회 도봉문화원 필하모닉 오케스트라 정기연주회 연주 봉사,도봉문화원,서울 도봉문화원,※도봉 오케스트라 회원만 접수바랍니다.- 일시: 2018.6.2(토) 15:00~20:00- 장소: 도봉구민회관 대강당- 내용: 제4회 도봉문화원 필하모닉 오케스트라 정기연주회 연주 봉사,20180605,20180608,20180602 ~ 20180602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Seoul,Dobong-gu,"303 Chang 5(o)-dong, Dobong-gu, Seoul, South Korea",37.6542196,127.0389333
94,2018 인천 펜타포트 락 페스티벌 VOLUNTEER,인천펜타포트음악축제,송도달빛축제공원,"2018 PENTAPORT VOLUNTEER PENTAROCKERS올 여름 뜨거운 경험을 함께 나눌 펜타락커즈 모집""It's Time To ROCK""13회를 맞이한 2018 인천 펜타포트 락 페스티벌과 함께뜨거운 태양 아래 더욱 화끈하고 재미있게 더위를 날려버릴자원활동가 펜타락커즈를 기다립니다.[모집대상]음악을 사랑하고 페스티벌을 사랑하는 모든 이들에게 펜타락커즈가 될 기회는 열려있습니다.뜨거운 태양 아래 강인한 체력은 필수! 긍정적인 마인드와 에너지 성실한 자세로 페스티벌을 함께 만들어 갈 지원자를 모집합니다. 인천 거주자들의 지원을 환영합니다.* 단 페스티벌의 활동 특성 상 미성년자는 모집 대상에서 제외됩니다.[모집 일정] (*사정에 따라 변경될 수 있습니다.)지원 기간 : 2018년 6월 4일(월) ~ 6월 19일(화)1차 합격자 및 인터뷰 일정 발표 : 2018년 6월 22일(금) 공식 홈페이지사전 인터뷰 : 2018년 6월 30일(토) / 7월 1일(일)최종 합격자 발표 : 2018년 7월 3일(화) (개별 연락)[신청 방법]1. 문화체육자원봉사 사이트 ‘문화품앗e’ 회원가입 (http://csv.culture.go.kr)？ 검색창 '펜타포트' 또는 '펜타포트락페스티벌' 검색 및 자원봉사 신청2. 참가신청서 작성 : http://naver.me/5vWlo5rl모집요강 확인 : http://naver.me/FIIF5uig[모집 분야]페스티벌 컨디션 : 행사장 내 관객 안내 및 정리/ 관객 입장 관리/ 푸드존 관리인포메이션 : 행사장 프로그램 안내백스테이지 : 아티스트 대기실 정리티켓부스 : 관객 입장팔찌 교환오피셜블로거 :행사장 기록 촬영 (사진 영상)프레스존 : 프레스 부스 운영 및 언론사 응대 보조[제공 사항]- 자원활동 확인서 발급(문화체육자원봉사 사이트 인증시스템 활용/ OT 등 사전활동 인정)- 2018년 펜타포트 관람 기회 제공 (당일 근무자 대상으로 활동 종료 후에 한함)- 2019년 펜타포트 초대권 제공 (각 1일권 2매/ 3일 개근자에 한함)- 소정의 기프트 패키지 증정- 식사 티셔츠 제공- 출퇴근 셔틀버스 제공 (합정↔펜타포트/ 출근 : 8:30 / 퇴근 : 23:30 예정)* 세부 내용은 사정에 따라 변동될 수 있습니다.[유의 사항]- 모집 분야 확인 후 지원서에 희망분야를 적어주세요.단 분야별 모집 인원수 초과시 2지망으로 분야가 배정됩니다..- 근무시간은 오전 11시 ~ 오후 9시(휴식시간 2시간 포함)이며 활동 분야에 따라 근무 시간은 달라질 수 있습니다.- 펜타락커즈는 사전 오리엔테이션에 반드시 참석해야 하며 불참 시 활동이 불가합니다.* O/T : 7월 28일(토) 14시/ 송도 예정- 해외 거주자의 경우 서면으로 인터뷰는 대체가능하나 오리엔테이션은 반드시 참석해야 합니다.[문의]- simzie@yescoment.com※ 문화품앗e 지원 - 신청서 사이트 들어가기 - 정보입력 - 완료(보내기) - 신청완료필수! 문화품앗이 신청 후 세부지원서를 제출하셔야 합니다.(품앗이 신청을 안하시면 봉사인증이 안됩니다.)품앗이 신청 예) 홍길동-네이버신청서 완료",20180605,20180608,20180728 ~ 20180812,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Incheon,Yeonsu-gu,"Dalbit (Moonlight) Park, 1 Songdo-dong, Yeonsu-gu, Incheon, South Korea",37.4027985,126.6493677
95,도봉구 문화재(한글역사문화길) 주변 환경정리,도봉문화원,도봉구 문화재 주변,"도봉구 역사문화탐방 ""2018.토요탐방 도봉기행"" 참가자 모집6월 9일 - 1길 : 한글역사문화길방학동 원당샘 은행나무(집결) - 연산군묘 - 김수영 문학관 - 양효공 안맹담과 정의공주묘역 - 충정공목서흠묘역 - 간송옛집(해산)토요일마다 문화관광해설사와 함께 도봉구 곳곳에 숨어 있는 문화재를 찾아 다닙니다.(자세한 코스 안내 ↓↓↓)http://www.dobong.or.kr/contents/?ca_id=4020- 도봉구 문화재 주변 환경정리* 봉사 신청 후 도봉문화원 사무실로 전화해 주시기 바랍니다.TEL : 02) 905 - 4026",20180605,20180608,20180609 ~ 20180609,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Seoul,Dobong-gu,"303 Chang 5(o)-dong, Dobong-gu, Seoul, South Korea",37.6542196,127.0389333
96,제3회 거제로 바다로 전국 남/여 배구대회 체육봉사자모집,거제시체육회,거제시 일원(거제시 실내체육관 제일고체육관 거제스포츠파크 사등실내체육관),행사진행보조요원,20180605,20180608,20180708 ~ 20180708,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Gyeongsangnam-do,Geoje-si,"910 Gohyeon-dong, Geoje-si, Gyeongsangnam-do, South Korea",34.8820535,128.6170535
97,제3회 거제로 바다로 전국남/여 배구대회 체육봉사자 모집,거제시체육회,거제시 일원(거제시 실내체육관 제일고체육관 거제스포츠파크 사등실내체육관),행사진행보조요원,20180605,20180608,20180707 ~ 20180707,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Gyeongsangnam-do,Geoje-si,"910 Gohyeon-dong, Geoje-si, Gyeongsangnam-do, South Korea",34.8820535,128.6170535
98,문화가 있는 이바구 씽씽,부산동구문화원,동구 관내 경로당 4곳,"○봉사제목: 2018 지방문화원과 함께하는 문화가 있는 날 ""문화가 있는 이바구 길""○봉사내용: 경로당 공연○활동대상: 한국무용 라인댄스 난타 하모니카 색소폰 아코디언 연주 및 공연 가능한 60세이상 어르신○모집인원: 30명",20180605,20180608,20180701 ~ 20181130,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,Busan,Dong-gu,"819-54 Sujeong 2(i)-dong, Dong-gu, Busan, South Korea",35.1283584,129.0450455
99,제27기 한국고등학교 검도상비군 및 제9회 남자중학교 상비군 선발대회 자원봉사,거제시체육회,거제시 실내체육관,행사진행보조요원,20180605,20180608,20180615 ~ 20180615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Gyeongsangnam-do,Geoje-si,"910 Gohyeon-dong, Geoje-si, Gyeongsangnam-do, South Korea",34.8820535,128.6170535
100,제27기 한국고등학교 검도상비군 및 제9회 남자중학교 상비군 선발대회,거제시체육회,거제시 실내체육관,행사진행보조요원,20180605,20180608,20180617 ~ 20180617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Gyeongsangnam-do,Geoje-si,"910 Gohyeon-dong, Geoje-si, Gyeongsangnam-do, South Korea",34.8820535,128.6170535
